"event","experiment time","system time","system time text"
"START",0.000000000E0,1780944456.284,"2026-06-08 14:47:36.284 UTC-04:00"
"PAUSE",7.692939199E3,1780952149.223,"2026-06-08 16:55:49.223 UTC-04:00"
