time_s,lat,lon,alt_m,vel_ms,heading,pitch,roll,yaw,lin_x,lin_y,lin_z,gyr_mag,edr,turb_cat,phase,fuel_flow_kgs,co2_gs,nox_gs,co_gs
0.038217869999998655,40.78258813,-73.87815214,-12.79005573,1.9799999,121.1999969,7.42591047,0.1302696797,-112.8934932,-0.08253240585,0.08090114594,-0.04122519493,0.006047257389222943,,3,climb,1.0201210715443132,3223.5825860800296,14.281608963896934,1.3882192878915556
0.938217869999999,40.78262886,-73.87809573,-12.79016164,1.289999962,123.0,7.401944936,-0.5734412737,-113.5547028,0.08144080639,0.02052211761,0.06498026848,0.009244068160088494,,3,climb,1.9014021767053138,6008.430878388792,44.96531358298412,1.3918042899667464
1.0382178699999987,40.78262886,-73.87809573,-12.79016164,1.289999962,123.0,7.37018703,-0.6760627033,-113.5143146,-0.03667545319,0.01011943817,0.1095695496,0.010018934960663157,,3,climb,2.1143587763979284,6681.373733417454,54.93111340472359,1.2263922365553972
1.938217869999999,40.78257681,-73.87804309,-6.790098772,1.75,118.0999985,7.528496306,-0.6544744319,-113.2346438,0.1080739498,-0.1397018433,-0.08676671982,0.016617330947476618,,3,climb,2.463985289076931,7786.193513483102,76.46492789405832,1.231605578482654
2.0382178699999987,40.78257681,-73.87804309,-6.790098772,1.75,118.0999985,7.507920286,-0.7358006229,-113.2259137,0.08617115021,-0.0566444397,0.05873465538,0.008057865714176965,,3,climb,2.4136601865196115,7627.166189401973,72.95193680580648,1.206450932745899
2.938217869999999,40.78258436,-73.87802004,-9.790125706,1.639999986,117.0,7.622685232,-0.8934556513,-113.806011,0.0242369175,0.1337652206,-0.04517889023,0.026302697312340726,,3,climb,2.0108728307489883,6354.358145166803,49.973568177048435,1.3147538528102172
3.0382178699999987,40.78258436,-73.87802004,-9.790125706,1.639999986,117.0,7.63209741,-1.057305059,-113.9068537,0.04366993904,-0.007038116455,-0.0642285347,0.01689569770562596,,3,climb,1.9568687890325,6183.7053733427,47.47423427884926,1.3548714124409478
3.938217870000001,40.7825593,-73.87800403,-12.79009001,1.25,117.0,7.539882889,-1.490191094,-114.1704557,-0.1849006414,0.14731884,-0.1332683563,0.01388963041981154,,3,climb,1.7476582967141507,5522.600217616717,38.3877556580705,1.47099436779376
4.038217869999999,40.7825593,-73.87800403,-12.79009001,1.25,117.0,7.547473613,-1.47444581,-114.3120661,-0.0350779295,0.06229686737,-0.006711006165,0.006493586534749736,,3,climb,1.8171212190072132,5742.103052062794,41.2954599263696,1.4393931490740177
4.938217870000001,40.78256101,-73.87798986,-15.79010133,1.319999933,107.3000031,7.565009221,-1.206580947,-115.730428,0.05810701847,-0.05354118347,-0.03634738922,0.014063174078855682,,3,climb,0.16314093478610361,515.5253539240874,0.7507190546724748,4.629806919301071
5.038217869999999,40.78256101,-73.87798986,-15.79010133,1.319999933,107.3000031,7.581382534,-1.377497553,-115.8052588,0.07712936401,0.01924800873,-0.1056013107,0.0095028326654014,,3,climb,0.16314092615529333,515.5253266507269,0.7507190149564235,4.629806674365701
5.938217870000001,40.78257945,-73.87797235,-16.79014461,0.9199999571,102.1999969,7.569147093,-1.71568183,-116.6262372,-0.1012877226,0.03967952728,-0.2030076981,0.015271630995000006,,3,climb,0.16314208683434928,515.5289943965437,0.7506996362850177,4.629622507435282
6.038217869999999,40.78257945,-73.87797235,-16.79014461,0.9199999571,102.1999969,7.558908566,-2.006732454,-116.7232461,-0.175023675,0.02127075195,-0.03305482864,0.017503181929056463,,3,climb,0.16315971024655418,515.5846843791112,0.750780730559273,4.630122622073906
6.938217870000001,40.78261143,-73.87796824,-21.79020441,1.399999976,85.5,7.71728563,-2.144590396,-117.5045434,-0.05798566341,0.0253238678,-0.1313490868,0.009344441026747011,,3,climb,0.2676260059004255,845.6981786453446,1.3436011163886579,7.107394007962129
7.038217869999999,40.78261143,-73.87796824,-21.79020441,1.399999976,85.5,7.679044818,-2.287381075,-117.5842203,-0.1016867161,0.03315639496,-0.04206800461,0.005000147620105257,,3,climb,0.24079075701992814,760.8987921829729,1.1278229942983309,6.74506551107439
7.938217870000001,40.7826129,-73.87795441,-22.79021507,1.610000014,75.5,7.725450006,-4.036984388,-118.2563198,-0.3236876726,-0.009606361389,-0.04802179337,0.021897622903924913,,3,climb,2.4442043762149024,7723.685828839091,74.98423572764054,1.220809807692469
8.038217869999999,40.7826129,-73.87795441,-22.79021507,1.610000014,75.5,7.716693089,-4.210700746,-118.3110126,-0.09614956379,-0.2474803925,-0.1244673729,0.009735590121638386,,3,climb,2.4262307833859724,7666.889275499673,73.73305585633652,1.2118325148692686
8.93821787,40.78258909,-73.87793689,-22.79018251,1.569999933,69.09999847,7.793287404,-6.859290036,-118.9239327,-0.2568503618,-0.04261493683,-0.1638965607,0.021125695884112266,,3,climb,2.590384160011616,8185.613945636707,85.54516872910096,1.2938223318433444
9.038217869999999,40.78258909,-73.87793689,-22.79018251,1.569999933,69.09999847,7.80576879,-7.465274802,-119.0045567,-0.1606981754,-0.1153411865,-0.03096723557,0.008724900692271376,,3,climb,2.623196071491016,8289.29958591161,88.00995221796238,1.3102109372393578
9.93821787,40.78250385,-73.87790294,-15.79004919,2.819999933,65.0,7.69044026,-8.157313397,-119.523393,-0.6148866415,-0.083070755,0.04639959335,0.029713429821046487,,3,climb,2.65109501157561,8377.460236578927,90.18037923840932,1.324579862649936
10.038217869999999,40.78250385,-73.87790294,-15.79004919,2.819999933,65.0,7.702678597,-7.945261388,-119.547545,0.0005578994751,-0.2417755127,-0.2865352631,0.01592941708630259,,3,climb,2.6510633793591154,8377.360278774804,90.17795691296965,1.3245640580873699
10.93821787,40.78245402,-73.87785626,-13.78998686,3.299999952,80.5,7.80635973,-8.29622753,-119.737918,0.3045108318,-0.1813936234,0.2137789726,0.04359883393901817,,3,climb,2.6511843816409257,8377.742645985325,90.20094243267698,1.3247494648587825
