"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.385386340E1,4.077752303E1,-7.386835470E1,1.421334880E1,6.740000153E1,1.210000000E2,1.150000000E1,1.100000000E1
5.486230516E1,4.077714148E1,-7.386759245E1,1.521359143E1,7.086000061E1,1.215999985E2,1.150000000E1,1.100000000E1
5.586385004E1,4.077677176E1,-7.386682978E1,1.521381263E1,7.294999695E1,1.218000031E2,1.150000000E1,1.100000000E1
5.686431406E1,4.077641088E1,-7.386604490E1,1.321400508E1,7.348999786E1,1.220000000E2,1.200000000E1,1.200000000E1
5.786340871E1,4.077605439E1,-7.386528424E1,1.321420372E1,7.318999481E1,1.224000015E2,1.200000000E1,1.200000000E1
5.886315906E1,4.077565349E1,-7.386448930E1,1.021446229E1,7.626999664E1,1.240999985E2,1.100000000E1,1.100000000E1
5.986096406E1,4.077524407E1,-7.386370693E1,1.021474348E1,7.733000183E1,1.254000015E2,1.250000000E1,1.300000000E1
6.086768512E1,4.077484723E1,-7.386294468E1,1.421501379E1,7.527999878E1,1.259000015E2,1.100000000E1,1.200000000E1
6.185518578E1,4.077445538E1,-7.386221428E1,2.321529368E1,7.394999695E1,1.259000015E2,1.050000000E1,1.200000000E1
6.285687008E1,4.077406621E1,-7.386148514E1,2.621556951E1,7.359999847E1,1.255000000E2,1.100000000E1,1.300000000E1
6.386310375E1,4.077366815E1,-7.386075541E1,3.221586099E1,7.325000000E1,1.260999985E2,1.100000000E1,1.300000000E1
6.485979606E1,4.077327311E1,-7.385999233E1,3.521612773E1,7.377999878E1,1.256999969E2,1.200000000E1,1.500000000E1
6.584936477E1,4.077286868E1,-7.385925480E1,4.021642620E1,7.408000183E1,1.255999985E2,1.300000000E1,1.500000000E1
6.685413641E1,4.077248169E1,-7.385851149E1,4.421669004E1,7.484999847E1,1.251999969E2,1.300000000E1,1.500000000E1
6.787212293E1,4.077208724E1,-7.385772636E1,5.021694303E1,7.588999939E1,1.245000000E2,1.400000000E1,1.500000000E1
6.886810324E1,4.077169895E1,-7.385690343E1,5.521716306E1,7.680999756E1,1.233000031E2,1.350000000E1,1.600000000E1
6.985616473E1,4.077131933E1,-7.385607756E1,5.821736584E1,7.816999817E1,1.225999985E2,1.350000000E1,1.600000000E1
7.086495680E1,4.077094512E1,-7.385527725E1,5.821757378E1,7.772000122E1,1.220000000E2,1.650000000E1,1.900000000E1
7.187235406E1,4.077052833E1,-7.385449137E1,5.921786662E1,8.012999725E1,1.224000015E2,2.450000000E1,1.800000000E1
7.484966461E1,4.076956911E1,-7.385138889E1,8.321779011E1,8.697999573E1,1.168000031E2,3.100000000E1,2.300000000E1
7.585207957E1,4.076927000E1,-7.385052849E1,9.021782842E1,8.650999451E1,1.173000031E2,3.150000000E1,2.500000000E1
7.784337434E1,4.076853998E1,-7.384885152E1,1.052181674E2,8.484999847E1,1.179000015E2,3.200000000E1,2.600000000E1
7.885708625E1,4.076812516E1,-7.384800830E1,1.052184237E2,8.401999664E1,1.195000000E2,3.550000000E1,2.800000000E1
7.985726266E1,4.076765334E1,-7.384717220E1,1.072187867E2,8.484999847E1,1.228000031E2,3.150000000E1,2.600000000E1
8.285041563E1,4.076634186E1,-7.384450944E1,9.521959925E1,8.865999603E1,1.230000000E2,3.500000000E1,2.900000000E1
8.384659125E1,4.076592893E1,-7.384371391E1,9.621988006E1,8.745999908E1,1.230000000E2,3.500000000E1,3.100000000E1
8.485076031E1,4.076542933E1,-7.384311033E1,9.122042801E1,8.402999878E1,1.258000031E2,3.650000000E1,3.400000000E1
8.586224723E1,4.076488375E1,-7.384258445E1,8.322110368E1,8.175000000E1,1.296999969E2,3.850000000E1,3.600000000E1
8.685083613E1,4.076436080E1,-7.384201650E1,7.222171431E1,8.075000000E1,1.325000000E2,3.350000000E1,3.600000000E1
8.785640609E1,4.076385696E1,-7.384138291E1,6.522225257E1,8.044999695E1,1.333000031E2,3.550000000E1,3.900000000E1
8.885127258E1,4.076329475E1,-7.384076474E1,5.522290476E1,8.229999542E1,1.348000031E2,3.700000000E1,3.900000000E1
8.985494184E1,4.076270667E1,-7.384020852E1,4.622363937E1,8.268999481E1,1.371000061E2,4.250000000E1,4.600000000E1
9.085027211E1,4.076208541E1,-7.383969563E1,3.922445882E1,8.275999451E1,1.400000000E2,3.450000000E1,4.100000000E1
9.186160945E1,4.076144398E1,-7.383921837E1,3.522533519E1,8.230999756E1,1.418000031E2,3.400000000E1,4.200000000E1
9.285397406E1,4.076081936E1,-7.383871352E1,2.822616541E1,8.236000061E1,1.423999939E2,3.450000000E1,4.400000000E1
9.386189949E1,4.076018401E1,-7.383822477E1,2.222702428E1,8.343999481E1,1.436999969E2,3.650000000E1,4.600000000E1
9.485080453E1,4.075956036E1,-7.383766394E1,2.622782038E1,8.348999786E1,1.435000000E2,3.300000000E1,4.200000000E1
9.585161387E1,4.075891055E1,-7.383706497E1,1.522864144E1,8.497999573E1,1.435000000E2,3.400000000E1,4.500000000E1
9.685992164E1,4.075826359E1,-7.383640640E1,1.229422889E0,8.536999512E1,1.426999969E2,3.350000000E1,4.500000000E1
9.785222121E1,4.075765197E1,-7.383583752E1,-2.769807160E0,8.633999634E1,1.420000000E2,3.150000000E1,4.400000000E1
9.886390008E1,4.075704533E1,-7.383514476E1,-1.176911792E1,8.688999939E1,1.381999969E2,3.000000000E1,4.300000000E1
9.985769848E1,4.075646283E1,-7.383445644E1,-1.376846945E1,8.797999573E1,1.366000061E2,3.250000000E1,4.700000000E1
1.068665555E2,4.075309867E1,-7.382893796E1,-2.476561714E1,8.886000061E1,1.190999985E2,3.300000000E1,4.800000000E1
1.078582938E2,4.075281917E1,-7.382796080E1,-2.976568048E1,8.993000031E1,1.144000015E2,3.150000000E1,4.900000000E1
1.088630680E2,4.075250875E1,-7.382703812E1,-3.576565660E1,8.876999664E1,1.134000015E2,2.950000000E1,4.800000000E1
1.098520784E2,4.075230645E1,-7.382605107E1,-3.476586444E1,8.837999725E1,1.095999985E2,2.750000000E1,4.600000000E1
1.108618171E2,4.075213139E1,-7.382510500E1,-3.976609750E1,8.905999756E1,1.036999969E2,2.900000000E1,4.800000000E1
1.118624940E2,4.075193895E1,-7.382413253E1,-4.076631456E1,9.027999878E1,1.013000031E2,2.750000000E1,4.700000000E1
1.128614007E2,4.075176519E1,-7.382313014E1,-4.176658254E1,8.909999847E1,1.001999969E2,2.900000000E1,5.000000000E1
1.138589426E2,4.075163623E1,-7.382217268E1,-4.576690506E1,8.733999634E1,9.900000000E1,2.850000000E1,4.700000000E1
1.148590295E2,4.075153909E1,-7.382126969E1,-4.476725324E1,8.587999725E1,9.730000305E1,2.950000000E1,4.800000000E1
1.158583359E2,4.075146587E1,-7.382045212E1,-4.076759499E1,8.347999573E1,9.540000153E1,2.950000000E1,4.900000000E1
1.168540602E2,4.075153578E1,-7.381945895E1,-3.476829587E1,8.586000061E1,9.109999847E1,2.950000000E1,5.000000000E1
1.178539336E2,4.075169025E1,-7.381842840E1,-3.076917055E1,8.795999908E1,8.619999695E1,2.950000000E1,5.000000000E1
1.188494892E2,4.075189653E1,-7.381737269E1,-2.677015299E1,8.993999481E1,8.159999847E1,2.900000000E1,5.000000000E1
1.198522887E2,4.075218500E1,-7.381632496E1,-2.177127870E1,9.125000000E1,7.759999847E1,2.950000000E1,5.100000000E1
1.208660819E2,4.075246164E1,-7.381523849E1,-1.877240561E1,9.538999939E1,7.509999847E1,2.750000000E1,5.200000000E1
1.218502901E2,4.075280354E1,-7.381419470E1,-1.277362525E1,9.641999817E1,7.219999695E1,2.650000000E1,4.900000000E1
1.228548750E2,4.075316509E1,-7.381313304E1,-8.774890640E0,9.693000031E1,6.990000153E1,2.850000000E1,5.000000000E1
1.238476070E2,4.075362434E1,-7.381209813E1,-3.776316358E0,9.836999512E1,6.659999847E1,2.700000000E1,4.900000000E1
1.258619669E2,4.075453344E1,-7.380999754E1,5.220831108E0,9.954000092E1,6.179999924E1,3.050000000E1,5.100000000E1
1.268566310E2,4.075517428E1,-7.380918307E1,1.221920615E1,9.782999420E1,5.440000153E1,2.950000000E1,5.200000000E1
1.278596762E2,4.075570003E1,-7.380826869E1,1.621773034E1,9.790999603E1,5.320000076E1,2.600000000E1,5.100000000E1
1.298639578E2,4.075697509E1,-7.380656264E1,2.321444736E1,1.000599976E2,4.870000076E1,2.700000000E1,5.000000000E1
1.308505223E2,4.075767523E1,-7.380577700E1,3.221273214E1,1.017999954E2,4.620000076E1,2.350000000E1,4.800000000E1
1.318513173E2,4.075837524E1,-7.380495474E1,3.521099585E1,1.016500015E2,4.520000076E1,2.400000000E1,5.000000000E1
1.328522781E2,4.075905380E1,-7.380414588E1,4.320930588E1,1.015799942E2,4.509999847E1,2.500000000E1,5.200000000E1
1.338640502E2,4.075971794E1,-7.380333100E1,5.020763830E1,1.017099991E2,4.420000076E1,2.450000000E1,5.200000000E1
1.348581426E2,4.076040886E1,-7.380249289E1,5.420590899E1,1.030899963E2,4.429999924E1,2.250000000E1,4.900000000E1
1.358597861E2,4.076107463E1,-7.380160659E1,5.720419694E1,1.036899948E2,4.450000000E1,2.250000000E1,4.900000000E1
1.368558940E2,4.076175793E1,-7.380077845E1,6.120248701E1,1.038299942E2,4.409999847E1,2.300000000E1,5.100000000E1
1.388593083E2,4.076321294E1,-7.379909654E1,6.619889289E1,1.062699966E2,4.220000076E1,2.450000000E1,5.100000000E1
1.398671030E2,4.076400583E1,-7.379828358E1,7.419699426E1,1.080799942E2,4.050000000E1,2.500000000E1,5.600000000E1
1.408595403E2,4.076475710E1,-7.379746366E1,7.519516644E1,1.087699966E2,4.079999924E1,2.500000000E1,5.700000000E1
1.418534884E2,4.076551553E1,-7.379663629E1,7.619332132E1,1.094099960E2,4.029999924E1,2.550000000E1,5.900000000E1
1.428603907E2,4.076629438E1,-7.379579868E1,7.919143345E1,1.093600006E2,4.040000153E1,2.400000000E1,5.600000000E1
1.438604280E2,4.076705244E1,-7.379495320E1,8.718957835E1,1.100400009E2,4.050000000E1,2.400000000E1,5.700000000E1
1.448602307E2,4.076783615E1,-7.379410688E1,8.718767651E1,1.105899963E2,4.050000000E1,2.100000000E1,4.900000000E1
1.458563805E2,4.076862568E1,-7.379326450E1,9.018576639E1,1.109399948E2,4.070000076E1,2.050000000E1,4.900000000E1
1.468523553E2,4.076940432E1,-7.379240041E1,9.718386322E1,1.111499939E2,4.070000076E1,2.200000000E1,5.200000000E1
1.498630961E2,4.077173109E1,-7.378978106E1,1.041781539E2,1.116699982E2,4.020000076E1,2.050000000E1,4.800000000E1
1.528561964E2,4.077397086E1,-7.378719625E1,1.151726207E2,1.108699951E2,4.370000076E1,3.150000000E1,5.600000000E1
1.538542173E2,4.077462377E1,-7.378631590E1,1.231709339E2,1.092900009E2,4.559999847E1,3.200000000E1,5.800000000E1
1.548602822E2,4.077533946E1,-7.378545986E1,1.281691481E2,1.089899979E2,4.570000076E1,3.150000000E1,5.700000000E1
1.558528495E2,4.077606621E1,-7.378463952E1,1.391673631E2,1.086999969E2,4.479999924E1,3.150000000E1,5.700000000E1
1.568542025E2,4.077687632E1,-7.378381038E1,1.541654227E2,1.108199997E2,4.329999924E1,2.800000000E1,5.200000000E1
1.578553810E2,4.077771380E1,-7.378298267E1,1.651634338E2,1.122799988E2,4.179999924E1,3.350000000E1,6.300000000E1
1.588655082E2,4.077858657E1,-7.378217155E1,1.761613909E2,1.155299988E2,3.950000000E1,3.350000000E1,6.300000000E1
1.598532825E2,4.077944739E1,-7.378136689E1,1.881593732E2,1.169699936E2,3.809999847E1,3.100000000E1,6.500000000E1
1.608591435E2,4.078033315E1,-7.378062677E1,1.991573480E2,1.169799957E2,3.609999847E1,3.050000000E1,6.500000000E1
1.618547711E2,4.078116333E1,-7.377983619E1,2.081553935E2,1.171899948E2,3.459999847E1,3.150000000E1,6.400000000E1
1.628645851E2,4.078198635E1,-7.377904301E1,2.091534502E2,1.170799942E2,3.459999847E1,3.100000000E1,6.500000000E1
1.638539451E2,4.078276700E1,-7.377818277E1,2.041515443E2,1.165799942E2,3.650000000E1,2.950000000E1,6.500000000E1
1.658585939E2,4.078439154E1,-7.377644277E1,2.021476070E2,1.186800003E2,3.790000153E1,3.350000000E1,6.900000000E1
1.668604109E2,4.078516380E1,-7.377554297E1,2.001456929E2,1.176800003E2,3.959999847E1,3.400000000E1,7.000000000E1
1.678489170E2,4.078595615E1,-7.377467629E1,2.021437619E2,1.177299957E2,4.009999847E1,3.200000000E1,7.300000000E1
1.688495733E2,4.078676718E1,-7.377382703E1,2.111418072E2,1.167900009E2,4.009999847E1,2.900000000E1,6.900000000E1
1.698535404E2,4.078755248E1,-7.377295716E1,2.081398868E2,1.160400009E2,4.050000000E1,2.800000000E1,7.000000000E1
1.708540571E2,4.078835375E1,-7.377208544E1,2.091379365E2,1.162599945E2,4.059999847E1,2.750000000E1,7.000000000E1
1.718574230E2,4.078913264E1,-7.377122018E1,2.181360302E2,1.165400009E2,4.079999924E1,2.700000000E1,6.900000000E1
1.728469424E2,4.078990947E1,-7.377034343E1,2.291341208E2,1.158600006E2,4.079999924E1,2.850000000E1,7.400000000E1
1.738563759E2,4.079068392E1,-7.376947884E1,2.351322227E2,1.164799957E2,4.079999924E1,2.700000000E1,7.100000000E1
1.748526532E2,4.079146440E1,-7.376858390E1,2.441302960E2,1.169399948E2,4.050000000E1,2.750000000E1,7.100000000E1
1.758558378E2,4.079224706E1,-7.376770254E1,2.481283732E2,1.167799988E2,4.029999924E1,2.750000000E1,7.200000000E1
1.768583225E2,4.079303626E1,-7.376684952E1,2.571264550E2,1.163299942E2,3.970000076E1,2.750000000E1,7.300000000E1
1.778476189E2,4.079383668E1,-7.376599825E1,2.651245175E2,1.167900009E2,3.929999924E1,2.750000000E1,7.300000000E1
1.788487066E2,4.079463234E1,-7.376514204E1,2.721225857E2,1.158699951E2,3.929999924E1,2.850000000E1,7.500000000E1
1.798605412E2,4.079541915E1,-7.376425398E1,2.711206512E2,1.160999985E2,3.929999924E1,2.850000000E1,7.600000000E1
1.808630150E2,4.079621966E1,-7.376339902E1,2.761187111E2,1.158999939E2,3.909999847E1,2.850000000E1,7.700000000E1
1.818519170E2,4.079705898E1,-7.376252445E1,2.841166897E2,1.158099976E2,3.909999847E1,2.800000000E1,7.700000000E1
1.828501595E2,4.079788795E1,-7.376166933E1,2.931146981E2,1.155599976E2,3.900000000E1,2.650000000E1,7.500000000E1
1.838575628E2,4.079867405E1,-7.376077163E1,2.911127589E2,1.158399963E2,3.940000153E1,2.750000000E1,7.700000000E1
1.848656526E2,4.079947004E1,-7.375989689E1,2.951108152E2,1.155000000E2,3.959999847E1,2.700000000E1,7.600000000E1
1.858591873E2,4.080029536E1,-7.375905041E1,3.041088350E2,1.153099976E2,3.929999924E1,2.600000000E1,7.300000000E1
1.868541282E2,4.080111758E1,-7.375820367E1,3.101068601E2,1.157399979E2,3.890000153E1,2.550000000E1,7.200000000E1
1.878548890E2,4.080194945E1,-7.375737746E1,3.231048797E2,1.162500000E2,3.859999847E1,2.550000000E1,7.200000000E1
1.888543047E2,4.080278269E1,-7.375653491E1,3.271028872E2,1.166100006E2,3.859999847E1,2.650000000E1,7.400000000E1
1.908558159E2,4.080443284E1,-7.375478930E1,3.370988962E2,1.200499954E2,3.959999847E1,3.500000000E1,7.800000000E1
1.918525689E2,4.080528297E1,-7.375387584E1,3.430968318E2,1.214599991E2,3.959999847E1,3.050000000E1,7.500000000E1
1.928541768E2,4.080611102E1,-7.375297353E1,3.460948135E2,1.214599991E2,3.959999847E1,2.950000000E1,7.400000000E1
1.938650129E2,4.080693529E1,-7.375205554E1,3.460927928E2,1.213299942E2,3.970000076E1,3.050000000E1,7.400000000E1
1.958689249E2,4.080857119E1,-7.375024497E1,3.440887888E2,1.219199982E2,4.040000153E1,3.150000000E1,7.500000000E1
1.978629092E2,4.081021689E1,-7.374849726E1,3.480848034E2,1.192299957E2,3.950000000E1,3.300000000E1,7.800000000E1
1.988648720E2,4.081104943E1,-7.374753904E1,3.490827440E2,1.199799957E2,4.029999924E1,3.400000000E1,8.300000000E1
1.998510313E2,4.081187571E1,-7.374658953E1,3.550807008E2,1.198299942E2,4.070000076E1,3.500000000E1,8.500000000E1
2.008637819E2,4.081269253E1,-7.374568387E1,3.570787001E2,1.200299988E2,4.059999847E1,3.100000000E1,7.500000000E1
2.018627155E2,4.081351781E1,-7.374475465E1,3.600766703E2,1.196299973E2,4.090000153E1,2.950000000E1,7.500000000E1
2.028635777E2,4.081434930E1,-7.374385452E1,3.690746463E2,1.195599976E2,4.070000076E1,2.900000000E1,7.500000000E1
2.038518317E2,4.081517898E1,-7.374294760E1,3.710726214E2,1.200099945E2,4.050000000E1,2.900000000E1,7.500000000E1
2.048482045E2,4.081600774E1,-7.374203900E1,3.760705971E2,1.200999985E2,4.059999847E1,2.900000000E1,7.500000000E1
2.058589125E2,4.081685255E1,-7.374113493E1,3.880685464E2,1.199300003E2,4.070000076E1,2.800000000E1,7.200000000E1
2.098544850E2,4.082032970E1,-7.373747656E1,4.210601416E2,1.245499954E2,3.859999847E1,3.450000000E1,7.500000000E1
2.108514955E2,4.082126743E1,-7.373654843E1,4.390579089E2,1.266699982E2,3.909999847E1,3.000000000E1,7.100000000E1
2.118460601E2,4.082221911E1,-7.373561653E1,4.430556486E2,1.281100006E2,3.770000076E1,3.100000000E1,7.900000000E1
2.128631607E2,4.082316232E1,-7.373470911E1,4.570534178E2,1.279199982E2,3.709999847E1,3.000000000E1,7.500000000E1
2.148584695E2,4.082499398E1,-7.373284355E1,4.700490251E2,1.279899979E2,3.820000076E1,3.100000000E1,7.400000000E1
2.168657013E2,4.082675150E1,-7.373091227E1,4.780447274E2,1.277699966E2,3.900000000E1,3.600000000E1,8.700000000E1
